N,effect,t_design,power,effect_estimate,prob_effect,sd_effect_estimate
65,1.3,4,1,0.238252449502968,0.995,0.0892688138421402
15,1.5,4,0,0.387786549705603,0.948,0.24503882084709
35,1.5,4,1,0.292076226562023,0.999,0.0972175564644745
50,1.5,4,1,0.459809214250713,1,0.0937041198928336
65,1.5,4,1,0.236164048797183,0.995,0.0867776160988543
50,1,1,0,0.014271177529763,0.577,0.0774014000498753
15,1.3,1,0,0.304204767613259,0.968,0.166823491122975
35,1.3,1,1,0.333896672269103,0.9995,0.0937831478159778
50,1.3,1,0,0.164956286950374,0.97,0.0860923751554057
65,1.3,1,1,0.329180360255031,1,0.0615511086292175
15,1.5,1,1,0.365922616098885,0.989,0.162262035459591
35,1.5,1,1,0.694276303601862,1,0.10178892210808
50,1.5,1,1,0.315648185952427,1,0.08241349442051
65,1.5,1,1,0.1561389287135,0.9815,0.0734669584129081
15,1.3,2,0,-0.0157896132197181,0.4685,0.14107628907567
35,1.3,2,1,0.253967252334934,0.99,0.10647340799638
50,1.3,2,1,0.223521917256449,0.987,0.095501518639259
65,1.3,2,1,0.215169283789138,0.9985,0.0676505413758694
15,1.5,2,1,0.316668760341024,0.977,0.157577807598286
35,1.5,2,0,0.116641222353397,0.9075,0.0883564458426168
50,1.5,2,1,0.291374606791806,0.9995,0.0770942082211777
65,1.5,2,1,0.50289189130143,1,0.0878121001212738
15,1.3,3,1,0.449310875574404,0.999,0.16301585870382
35,1.3,3,0,0.0210648742865088,0.5775,0.12420844394516
50,1.3,3,1,0.292176480019455,0.9985,0.0874402661835901
65,1.3,3,1,0.269529999237104,0.999,0.0804973527498387
15,1.5,3,0,0.178275420647289,0.7645,0.260160674742102
35,1.5,3,1,0.331331884630405,0.999,0.101450454474963
50,1.5,3,1,0.356968948238042,1,0.094004487672016
65,1.5,3,1,0.283659362327185,0.9985,0.0885011307108266
15,1.3,4,1,0.314725711550116,0.975,0.16967191400397
35,1.3,4,1,0.248171431154293,0.983,0.114553129787505
50,1.3,4,1,0.379845302607105,1,0.0989915059497067
65,1.3,4,1,0.143340166271089,0.9805,0.0746010863369
15,1.5,4,1,0.565376290892621,0.999,0.196450954053306
35,1.5,4,1,0.48122634858607,1,0.113131473869116
50,1.5,4,1,0.226012781347114,0.9895,0.100699512574087
65,1.5,4,1,0.259693448447291,0.9995,0.0832884789026685
50,1,1,0,0.00742656638644971,0.533,0.0784935274615198
15,1.3,1,1,0.411828265734945,0.991,0.162643097173678
35,1.3,1,0,0.124111511920103,0.8875,0.101796033617139
50,1.3,1,0,0.0943539420198068,0.8795,0.0825101108449961
65,1.3,1,1,0.169604148501391,0.9885,0.073667155177167
15,1.5,1,0,0.344320540834281,0.944,0.21580699904033
35,1.5,1,1,0.302698934222879,0.9965,0.1029333814814
50,1.5,1,1,0.387917369726523,1,0.0865107067630936
65,1.5,1,1,0.324320533259409,1,0.0633081823105296
15,1.3,2,0,-0.0336634668807384,0.4225,0.158193019560611
35,1.3,2,0,0.00997135765040253,0.5475,0.108190393562426
50,1.3,2,0,0.0632496351706767,0.731,0.103632218526367
65,1.3,2,1,0.173400944883223,0.991,0.0730580798239542
15,1.5,2,0,0.178138347652739,0.8955,0.139940843320628
35,1.5,2,1,0.339857200417519,0.998,0.11563121737507
50,1.5,2,1,0.242425418430132,0.996,0.0920193272580456
65,1.5,2,1,0.425756802583599,1,0.0802736488760513
15,1.3,3,0,0.264309882696031,0.9165,0.190361974399118
35,1.3,3,1,0.236446833078748,0.984,0.105195586822241
50,1.3,3,1,0.19431879764813,0.9815,0.094149404553025
65,1.3,3,1,0.404832861284081,1,0.0856957046935703
15,1.5,3,1,0.706401539354379,1,0.130482232633842
35,1.5,3,1,0.31923897360674,0.9995,0.109420759809319
50,1.5,3,0,0.136853152139149,0.958,0.0813026070620117
65,1.5,3,1,0.258882668389662,0.9985,0.0827177888076565
15,1.3,4,0,-0.0990738490975479,0.2655,0.157569786966117
35,1.3,4,0,0.178548376457959,0.9585,0.101433180388724
50,1.3,4,1,0.224787496591478,0.9935,0.0862604845988893
65,1.3,4,1,0.372310558104473,1,0.0904651942568637
15,1.5,4,1,0.487206594714707,0.9985,0.18115142008179
35,1.5,4,1,0.290278161843322,0.9865,0.12863393318561
50,1.5,4,1,0.438030429374992,1,0.107546124656403
65,1.5,4,1,0.263670640344047,0.9995,0.0777296638541782
50,1,1,0,0.137396673042224,0.947,0.084749986063855
15,1.3,1,0,0.214551798468704,0.92,0.158814384225181
35,1.3,1,1,0.220872445730592,0.9895,0.0958787541054492
50,1.3,1,1,0.266155183720592,0.999,0.0865390320072425
65,1.3,1,1,0.279436888486331,1,0.0833184568118058
15,1.5,1,1,0.541381254254698,0.998,0.179128175470949
35,1.5,1,1,0.422953221296747,0.999,0.121008575466133
50,1.5,1,1,0.305680214847616,0.9985,0.0941316871911071
65,1.5,1,0,0.155281794347093,0.9655,0.0841271830545799
15,1.3,2,0,0.170699055985327,0.8675,0.16143905572722
35,1.3,2,1,0.210252150661195,0.9945,0.0846836364689853
50,1.3,2,1,0.196008333892446,0.985,0.0865500317733409
65,1.3,2,1,0.33661273739181,1,0.066402299465244
15,1.5,2,0,0.291894069512148,0.965,0.163159736869433
35,1.5,2,1,0.480875861533142,1,0.102873059380636
50,1.5,2,0,0.161932730404815,0.9525,0.0985518312397647
65,1.5,2,1,0.250045774827364,0.9995,0.0774105910248463
15,1.3,3,0,0.185655695960269,0.8705,0.173588773202673
35,1.3,3,1,0.364348367274604,0.9975,0.123471148819036
50,1.3,3,0,0.0660905169617672,0.7625,0.0918078176292703
65,1.3,3,0,0.10194906343507,0.909,0.0797419520828515
15,1.5,3,0,0.281505270161266,0.9685,0.148069258569386
35,1.5,3,1,0.381482404436147,0.999,0.102830213638009
50,1.5,3,1,0.321176339493564,1,0.0823645163259037
65,1.5,3,1,0.448701248123021,1,0.0881874289392227
15,1.3,4,0,0.247449990768888,0.844,0.241445388328836
35,1.3,4,0,0.0477979401929305,0.693,0.106311524656736
50,1.3,4,1,0.248631496934281,0.9995,0.0875713042368581
65,1.3,4,0,0.00654470375543928,0.5375,0.0722217703855001
15,1.5,4,1,0.477583259442607,0.9995,0.152698301972134
35,1.5,4,1,0.272003773537414,0.9845,0.12917357447533
50,1.5,4,1,0.292162865701777,0.9995,0.0934040571300365
65,1.5,4,1,0.297198568776959,0.9995,0.0825892433179105
50,1,1,0,0.114073896908024,0.8965,0.0904779494490083
15,1.3,1,1,0.385700758653689,0.9905,0.157759933626999
35,1.3,1,1,0.229523135461682,0.9855,0.103227724302745
50,1.3,1,0,0.125956896160451,0.9255,0.0857840127210917
65,1.3,1,0,0.106559705139108,0.922,0.07550522250074
15,1.5,1,0,0.243577801521732,0.933,0.162911552432694
35,1.5,1,1,0.264670124851384,0.999,0.0771638265719951
50,1.5,1,1,0.311649490524012,0.999,0.0907628058607955
65,1.5,1,1,0.184928027707707,0.9875,0.079718793330548
15,1.3,2,0,0.114857546090048,0.74,0.183343308581756
35,1.3,2,0,0.122842727450192,0.9205,0.0889198403261984
50,1.3,2,1,0.192918368054514,0.981,0.0911565807700576
65,1.3,2,1,0.2135573250657,0.989,0.0924981775238283
15,1.5,2,1,0.453756190388152,1,0.116778716482781
35,1.5,2,1,0.285732529984856,1,0.0895930102841467
50,1.5,2,1,0.266148267296502,1,0.0810441664898243
65,1.5,2,0,0.171044604534906,0.9545,0.101022362491603
15,1.3,3,0,0.122346375786811,0.7785,0.163576675469735
35,1.3,3,0,0.224487741819352,0.972,0.117451652199913
50,1.3,3,0,0.0824262430889479,0.822,0.0892617822298848
65,1.3,3,1,0.395283523579473,1,0.0838529711474606
15,1.5,3,1,0.297327472095365,0.9805,0.144862850857756
35,1.5,3,1,0.426542188834969,1,0.114361436276412
50,1.5,3,1,0.366389120895488,1,0.0763042831663384
65,1.5,3,1,0.310737719899541,1,0.0785653582493259
15,1.3,4,0,-0.160295284657923,0.1285,0.144453005883168
35,1.3,4,0,0.143883540087045,0.846,0.143719054525689
50,1.3,4,1,0.191693272074772,0.987,0.0866693418129299
65,1.3,4,0,0.132456418818275,0.9675,0.0723154899212293
15,1.5,4,1,0.297904107751165,0.9815,0.14316415334227
35,1.5,4,1,0.235388464118616,0.9825,0.114554354791704
50,1.5,4,1,0.41596407621553,1,0.109426515661286
65,1.5,4,0,0.147288253801183,0.9605,0.0843752616106151
50,1,1,0,0.118044460993974,0.92,0.0851461333285683
15,1.3,1,0,0.208530076129069,0.85,0.205415018840229
35,1.3,1,1,0.279131155977887,0.9975,0.104170496883034
50,1.3,1,1,0.277998120144454,0.9995,0.0918485274222848
65,1.3,1,0,0.120991795572867,0.9465,0.0769296436820718
15,1.5,1,1,0.305583064951545,0.9865,0.147714635653016
35,1.5,1,0,0.133340333706639,0.9605,0.0783704203872917
50,1.5,1,1,0.292220473090422,1,0.0817619047018797
65,1.5,1,1,0.229702284161943,1,0.0736653335348892
15,1.3,2,0,0.204474081537098,0.882,0.174619054861372
35,1.3,2,0,0.0446031628803798,0.704,0.0858278989369686
50,1.3,2,1,0.194720151297594,0.981,0.0934127558197596
65,1.3,2,1,0.300290561846958,1,0.0797080831559176
15,1.5,2,0,0.165242668436349,0.8525,0.159908796819341
35,1.5,2,1,0.259590321843675,0.987,0.11288962389927
50,1.5,2,1,0.303132324837579,0.999,0.108050676759621
65,1.5,2,1,0.195248029133378,0.989,0.0867952893723991
15,1.3,3,0,0.0959222363313414,0.7665,0.137137232865584
35,1.3,3,0,0.176774879237346,0.9255,0.122765205892332
50,1.3,3,1,0.294413983794454,0.999,0.0904726144801836
65,1.3,3,0,0.134290958649123,0.96,0.0759747075482096
15,1.5,3,0,0.277178184923533,0.973,0.144725667796166
35,1.5,3,1,0.321522677777131,1,0.0948286149390703
50,1.5,3,0,0.054461994037046,0.7115,0.102076884656125
65,1.5,3,1,0.309585754387513,1,0.0872568554769309
15,1.3,4,0,0.216996351404263,0.8595,0.206351773198597
35,1.3,4,1,0.413622918713311,1,0.116903462428705
50,1.3,4,0,0.100760410325643,0.871,0.0904258890309906
65,1.3,4,1,0.204810432630944,0.983,0.0946009978267251
15,1.5,4,0,0.18298117381594,0.8045,0.215987604111871
35,1.5,4,1,0.358261265413099,0.997,0.128897253788725
50,1.5,4,1,0.316146164667998,0.9955,0.110331548874861
65,1.5,4,1,0.394222085714317,1,0.0850406512558845
50,1,1,0,-0.0363654290381662,0.2945,0.0698995883190337
15,1.3,1,1,0.439405594511001,0.997,0.15324018556666
35,1.3,1,1,0.188913507370435,0.9765,0.0917073619262245
50,1.3,1,1,0.204074368456294,0.993,0.0811012283379973
65,1.3,1,0,0.108670810097017,0.934,0.0755719059449996
15,1.5,1,1,0.259651966528567,0.9765,0.127707871882876
35,1.5,1,1,0.341362220559215,0.999,0.102617028643467
50,1.5,1,1,0.239929937546683,0.996,0.0897181915649351
65,1.5,1,1,0.224390288144559,0.9995,0.0783649595035116
15,1.3,2,1,0.348634124144304,0.995,0.151102731376238
35,1.3,2,1,0.310382074393105,0.998,0.106236593733313
50,1.3,2,1,0.185944667627379,0.994,0.0741996780230841
65,1.3,2,1,0.222882086110867,0.998,0.0787381942553252
15,1.5,2,0,0.206374067004903,0.897,0.165557655825553
35,1.5,2,1,0.268546145792345,0.9995,0.085826747424439
50,1.5,2,1,0.302356322863738,1,0.0630515660284402
65,1.5,2,1,0.422337733576094,1,0.0770667308873182
15,1.3,3,1,0.579347974217569,1,0.171928053134217
35,1.3,3,0,-0.0214461102772236,0.438,0.137257326361612
50,1.3,3,1,0.329461974896567,1,0.0911452450045316
65,1.3,3,1,0.365297333662628,1,0.0852954751185406
15,1.5,3,1,0.507907571164896,0.9995,0.165572528790882
35,1.5,3,1,0.424015766163996,1,0.115677816157622
50,1.5,3,1,0.295575299847203,1,0.0952966808117965
65,1.5,3,1,0.274310342495618,0.9995,0.0847218384677147
15,1.3,4,0,0.333676550675878,0.966,0.189854712495791
35,1.3,4,1,0.383034466454548,0.9995,0.104189478710928
50,1.3,4,1,0.184114986457833,0.977,0.0941358900363317
65,1.3,4,1,0.178208117705478,0.9775,0.0860371878331022
15,1.5,4,1,0.754621542297254,0.9975,0.251570127447699
35,1.5,4,1,0.473856745808974,1,0.136671586396232
50,1.5,4,1,0.252282470614307,0.9985,0.0906213817628479
65,1.5,4,1,0.390168766289276,1,0.0887675613641456
50,1,1,0,0.0806399713705923,0.81,0.091545680108697
15,1.3,1,0,0.13971196807366,0.8435,0.140086088391945
35,1.3,1,1,0.18270216949488,0.989,0.0799728575202645
50,1.3,1,1,0.222583932856008,0.988,0.0998592611491169
65,1.3,1,1,0.153025867305357,0.992,0.0647025009367744
15,1.5,1,1,0.654129861748876,1,0.149021740778272
35,1.5,1,1,0.346813821440933,1,0.0968824709546605
50,1.5,1,1,0.475293607907014,1,0.0819494672747603
65,1.5,1,1,0.257874056779512,1,0.0729020783193872
15,1.3,2,0,0.272567381045324,0.9485,0.169849773024386
35,1.3,2,1,0.247095412459756,0.9845,0.11988678608736
50,1.3,2,1,0.207724051280854,0.983,0.0961389180385693
65,1.3,2,1,0.280428442269925,1,0.0892405708419823
15,1.5,2,0,0.186708013659405,0.921,0.137699450708139
35,1.5,2,1,0.268194073235976,0.9965,0.0993787657639498
50,1.5,2,1,0.37548027374422,1,0.084650367604503
65,1.5,2,1,0.36160495589238,1,0.0764895701546576
15,1.3,3,0,0.0349920375188327,0.5685,0.2186318039128
35,1.3,3,1,0.203789076357807,0.9825,0.0946021515464798
50,1.3,3,0,-0.00858916877538435,0.477,0.092164256081133
65,1.3,3,1,0.260321332170544,0.9975,0.0891014933007768
15,1.5,3,1,0.326527192485183,0.992,0.129864925324772
35,1.5,3,1,0.74288944840927,1,0.142359328551313
50,1.5,3,1,0.298361046060124,0.999,0.0855904396369672
65,1.5,3,1,0.347165602236125,1,0.0769191770860237
15,1.3,4,0,0.102450646514412,0.6985,0.200426483626406
35,1.3,4,1,0.391621357694148,1,0.104587062917462
50,1.3,4,0,0.144095854432838,0.9535,0.0900920442577882
65,1.3,4,1,0.156072139371219,0.988,0.0717336126508814
15,1.5,4,0,0.42427745502614,0.967,0.230860950347352
35,1.5,4,1,0.437855920392508,0.9995,0.15668440636511
50,1.5,4,1,0.332887772553606,1,0.085925052153368
65,1.5,4,1,0.327136279062835,0.9995,0.0993571133698678
50,1,1,0,-0.0435566191356459,0.3065,0.0913290561944613
15,1.3,1,1,0.470351232592368,0.999,0.144937790091235
35,1.3,1,1,0.221143543607665,0.99,0.0948028174176434
50,1.3,1,0,0.0899952081815601,0.8505,0.0852098695507978
65,1.3,1,1,0.144187142047849,0.9825,0.0692661429938721
15,1.5,1,0,0.184021034310961,0.8135,0.212872130667757
35,1.5,1,0,0.217781998983379,0.965,0.11911725608204
50,1.5,1,1,0.299945362304537,1,0.0790310188120558
65,1.5,1,1,0.286205387647415,1,0.0680489344327137
15,1.3,2,1,0.413441736860739,0.985,0.187126727108873
35,1.3,2,1,0.390174046381398,1,0.0965082201934955
50,1.3,2,0,0.173093188682665,0.9715,0.0893678732574249
65,1.3,2,1,0.314672187132353,1,0.0758000749536964
15,1.5,2,1,0.543221244926746,0.9945,0.208755184199746
35,1.5,2,1,0.303879573722272,1,0.0949162758910238
50,1.5,2,1,0.350901558643762,1,0.0833570896386531
65,1.5,2,1,0.249403074030019,0.9985,0.0811360303985978
15,1.3,3,0,0.124029989497279,0.774,0.168721428617663
35,1.3,3,1,0.306837891145182,0.9975,0.109089088108619
50,1.3,3,0,0.153832770601023,0.968,0.0849574646053607
65,1.3,3,0,0.133474182098096,0.9495,0.0797363403512355
15,1.5,3,1,0.355748983234993,0.991,0.15441655154778
35,1.5,3,1,0.250774131639365,0.9805,0.12114363829017
50,1.5,3,1,0.323348434744273,0.9995,0.0918017135112017
65,1.5,3,1,0.191114379814312,0.9935,0.0837762841997797
15,1.3,4,0,0.221672884131544,0.9125,0.167298536694252
35,1.3,4,1,0.362879209863585,1,0.0933846689828556
50,1.3,4,1,0.362019254180842,1,0.0903949946674024
65,1.3,4,0,0.155834082611253,0.9605,0.0864037924495087
15,1.5,4,0,0.136509662894283,0.7415,0.225926981336936
35,1.5,4,0,0.117796833121857,0.849,0.117598927001002
50,1.5,4,1,0.335930820720425,0.9995,0.0871339906060534
65,1.5,4,0,0.203202843302623,0.97,0.10417700580023
50,1,1,0,0.104008107091441,0.881,0.0875286648215874
15,1.3,1,0,0.2341393681791,0.876,0.211658850485734
35,1.3,1,0,0.17610778841873,0.9735,0.0904881931436972
50,1.3,1,1,0.203596423303028,0.9895,0.0875237218176587
65,1.3,1,1,0.197707058460231,0.995,0.0716613630462267
15,1.5,1,1,0.564741109361822,0.999,0.16406598445128
35,1.5,1,1,0.208833052821525,0.982,0.0955585822772093
50,1.5,1,1,0.413493540028732,1,0.0827285677205947
65,1.5,1,1,0.379698790138131,1,0.0615347716237755
15,1.3,2,1,0.508239095885771,0.9965,0.17737376456125
35,1.3,2,0,0.206102279526103,0.9485,0.124095769499965
50,1.3,2,0,0.0971485488482507,0.844,0.0992132876334225
65,1.3,2,1,0.190758918291828,0.998,0.0682208939478543
15,1.5,2,0,0.216996360438465,0.909,0.168392637692385
35,1.5,2,1,0.249950075983953,0.9905,0.108916671623016
50,1.5,2,1,0.314340535553694,0.9995,0.101728156036281
65,1.5,2,1,0.268507878042415,0.9985,0.0811811440378751
15,1.3,3,0,0.0938309558625309,0.64,0.260406224410564
35,1.3,3,0,0.170365490248589,0.9495,0.101529527695688
50,1.3,3,0,0.0618007645855255,0.7535,0.090515193567399
65,1.3,3,1,0.279082116747527,1,0.0771608015638118
15,1.5,3,0,0.222398536916639,0.939,0.148778569280807
35,1.5,3,1,0.321357522018912,0.993,0.123215440359078
50,1.5,3,1,0.341226394607646,1,0.0938059807940108
65,1.5,3,1,0.33618709907639,1,0.0813999067470201
15,1.3,4,0,0.180218446108198,0.816,0.214391087700095
35,1.3,4,0,0.128338143237944,0.889,0.1075885970322
50,1.3,4,0,0.118391152632505,0.913,0.0898153853193921
65,1.3,4,0,0.181481872674187,0.9695,0.0945190483822504
15,1.5,4,0,0.225080384188905,0.854,0.212846790647981
35,1.5,4,1,0.393796197571437,1,0.10779930802519
50,1.5,4,1,0.314525046511877,0.999,0.0892710020541958
65,1.5,4,0,0.108157917836963,0.9375,0.0695322101420921
50,1,1,0,-0.00236617464737773,0.486,0.0788064978935097
15,1.3,1,0,-0.251843285456585,0.1155,0.21474289136544
35,1.3,1,1,0.241700349243376,0.9975,0.0872044456071802
50,1.3,1,1,0.229253904108566,0.994,0.0938655131529893
65,1.3,1,0,0.136953303901035,0.959,0.0785417294389297
15,1.5,1,0,0.206946080433643,0.9145,0.152957873891853
35,1.5,1,1,0.338959205098873,0.9995,0.101142203933286
50,1.5,1,1,0.350940483254222,1,0.100051025337119
65,1.5,1,1,0.339906479974538,1,0.0700226091845521
15,1.3,2,0,-0.091344666981697,0.2615,0.145901833833614
35,1.3,2,0,0.192685839754327,0.9405,0.127447160954985
50,1.3,2,0,0.110313085009416,0.8665,0.0988145833537003
65,1.3,2,1,0.193173474619042,0.9885,0.0862233204054257
15,1.5,2,0,0.235668925760412,0.919,0.173340295772189
35,1.5,2,1,0.334527516290723,0.997,0.123619370067356
50,1.5,2,1,0.292256583149155,0.997,0.0922476485946619
65,1.5,2,1,0.353462309018267,1,0.0857391242250384
15,1.3,3,0,0.08636400051802,0.732,0.140354830461175
35,1.3,3,0,0.204724305992334,0.974,0.111269790562801
50,1.3,3,1,0.173770548212757,0.981,0.0847865930183292
65,1.3,3,1,0.196342332568361,0.9905,0.0856390071855638
15,1.5,3,0,0.240974292519832,0.9715,0.125535284688935
35,1.5,3,1,0.31589051872752,0.9995,0.111869367555541
50,1.5,3,1,0.281649137054163,0.9995,0.0866349603294117
65,1.5,3,1,0.342339808223816,1,0.0837761398423984
15,1.3,4,0,0.348192297701738,0.9605,0.207491586176452
35,1.3,4,1,0.278673169365777,0.992,0.123480038962599
50,1.3,4,1,0.230598016649632,0.978,0.115151923531399
65,1.3,4,1,0.224322693846993,0.9975,0.0824040747590611
15,1.5,4,1,0.664070575230155,0.9985,0.178494048349011
35,1.5,4,0,0.162864517765893,0.9195,0.114529792897435
50,1.5,4,1,0.294103692065471,0.9975,0.100337222993828
65,1.5,4,1,0.340026950811829,1,0.0852203232862089
50,1,1,0,0.0544155890181804,0.768,0.0765742744210122
15,1.3,1,0,-0.00176026054119191,0.5045,0.162491407130551
35,1.3,1,0,0.0938548566449153,0.812,0.107442152965812
50,1.3,1,1,0.156019658545783,0.9805,0.077470840192765
65,1.3,1,0,0.0464770353969776,0.7295,0.0771763307182825
15,1.5,1,1,0.665848238651731,0.999,0.206751563112566
35,1.5,1,1,0.270369773392884,0.999,0.083769614424054
50,1.5,1,1,0.251099622775945,0.9965,0.0883211973245009
65,1.5,1,1,0.459384511906778,1,0.0845134157526829
15,1.3,2,0,0.0895107565810342,0.676,0.195287845927043
35,1.3,2,0,0.226565863719907,0.9705,0.123950331197817
